Tarih;Ay;Ana Depo;Depo;Kontak Tipi;GLN;Kontak Adı;Kontak Brick;Ürün;Kategori;Form;Satış Adet;Satış MF;Toplam Satış
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001114863;ADA ECZANESİ;SINOP MERKEZ;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001899241;AHSEN ECZANESİ;ORDU FATSA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001899241;AHSEN ECZANESİ;ORDU FATSA;PANOCER;ASLAN;Panocer 40 mg 14 Enterik Kaplı Tablet;1;0;1
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001148202;AKMAN ECZANESİ;CORUM MERKEZ -2;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001844494;AKSOY ECZANESİ;ORDU FATSA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001113934;ALVER ECZANESİ;SAMSUN DOGU ILCELER - 2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001423958;ANADOLU ECZANESİ;SAMSUN BAHCELIEVLER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001236237;ANADOLU ECZANESİ;TRABZON DUZKOY+MACKA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001378821;ARAKLI ECZANESİ;TRABZON DOGU ILCELER - 2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001378821;ARAKLI ECZANESİ;TRABZON DOGU ILCELER - 2;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001666829;ARİF ECZANESİ;ORDU DOGU ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001215669;ARSLAN ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;20;10;30
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001522064;ARSLAN ECZANESİ;ORDU MERKEZ -1;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;20;10;30
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001215669;ARSLAN ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001522064;ARSLAN ECZANESİ;ORDU MERKEZ -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001190881;ARTOVA ECZANESİ;TOKAT BATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001154845;ARZUM ECZANESİ;CORUM GUNEYBATI ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001697847;ASLAN ECZANESİ;CORUM KARGI+OSMANCIK;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001673605;ASRIN ECZANESİ;TOKAT ERBAA;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001500789;ATAKENT ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;100;35;135
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001881284;ATİLLA ADA ECZANESİ;ORDU UNYE;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001143146;AYDIN ECZANESİ;ORDU UNYE;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001623709;AYDIN ECZANESİ;TRABZON AKCAABAT;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001505753;AYDINLAR ECZANESİ;GIRESUN MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;1;0;1
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001102853;AYHAN ECZANESİ;SAMSUN BAFRA;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001717774;AYŞEGÜL ECZANESİ;SAMSUN BAFRA;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001740581;AYŞENUR ECZANESİ;ORDU FATSA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001119387;BALCI ECZANESİ;RIZE MERKEZ;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001554423;BAŞARAN ECZANESİ;SAMSUN RASATHANE;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;10;3;13
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001110353;BAYRAKTAR ECZANESİ;RIZE BATI ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;150;60;210
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT TRABZON;Eczane;8680001277032;BEŞİKDÜZÜ ECZANESİ;TRABZON BATI ILCELER - 2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001510016;BİLGE ECZANESİ;GIRESUN DOGU ILCELER -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001173051;BİLGİ ECZANESİ;GIRESUN MERKEZ -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001666874;BUĞRA ECZANESİ;TOKAT MERKEZ -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001749973;BURCU ECZANESİ;TRABZON MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001749973;BURCU ECZANESİ;TRABZON MERKEZ -2;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;20;10;30
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001749973;BURCU ECZANESİ;TRABZON MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001153510;BÜYÜK ECZANESİ;ORDU MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001848560;CAN ECZANESİ;AGRI DIYADIN+D.BEYAZIT;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001848560;CAN ECZANESİ;AGRI DIYADIN+D.BEYAZIT;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001235766;CAN ECZANESİ;ERZINCAN MERKEZ;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001525522;CANER ECZANESİ;GIRESUN MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001565290;CEVDET ECZANESİ;TRABZON MERKEZ -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1;0;1
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001565290;CEVDET ECZANESİ;TRABZON MERKEZ -1;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;20;10;30
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001573523;CİHAN ECZANESİ;TOKAT MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;1;0;1
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001274529;ÇAĞLA ECZANESİ;TRABZON MERKEZ -3;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001274529;ÇAĞLA ECZANESİ;TRABZON MERKEZ -3;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 6 Çiğneme Tablet;1;0;1
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001531691;ÇALIŞKAN ECZANESİ;CORUM MERKEZ -3;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001292448;ÇAMAŞ ECZANESİ;ORDU GUNEY ILCELER -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;Eczane;8680001479795;ÇELEBİ ECZANESİ;VAN KUZEY ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001148233;ÇELENK ECZANESİ;ORDU MERKEZ -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001110537;ÇELİK ECZANESİ;SAMSUN ADALET;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001110537;ÇELİK ECZANESİ;SAMSUN ADALET;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;1;0;1
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001110537;ÇELİK ECZANESİ;SAMSUN ADALET;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001137411;ÇINAR ECZANESİ;SAMSUN ADALET;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;1;0;1
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;Eczane;8680001707904;ÇİĞDEM ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;100;60;160
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001651399;DAVUT DURAK ECZANESI;ORDU UNYE;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001838714;DERMAN ECZANESİ GÜRÜN;SIVAS GUNEY ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001454020;DEVA ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001151127;DEVA ECZANESİ;ORDU MERKEZ -3;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT TRABZON;Eczane;8680001726905;DEVA ECZANESİ;ORDU DOGU ILCELER;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;6;1;7
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001454020;DEVA ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001626922;DİLA ECZANESİ;SAMSUN BAHCELIEVLER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;2;0;2
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT TRABZON;Eczane;8680001205608;DİLEK ECZANESİ;TRABZON MERKEZ -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001158256;DOĞA ECZANESİ;CORUM MERKEZ -3;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001746033;DOĞA ECZANESİ;TRABZON DOGU ILCELER -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001108961;DOĞA ECZANESİ;SAMSUN ILKADIM - 2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001443024;DOKUZ EYLÜL ECZANESİ;ORDU UNYE;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001304837;DOST ECZANESİ;ERZURUM KUZEY ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 6 Çiğneme Tablet;2;0;2
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001719563;DUMAN ECZANESİ;ORDU BATI ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001171606;DURU ECZANESİ;TOKAT MERKEZ -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001741649;ECEM ECZANESİ;BITLIS KUZEYDOGU ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001114313;EFE ECZANESİ;SAMSUN ADALET;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001165018;ELİF ECZANESİ;GIRESUN MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;Eczane;8680001179145;ELİF ECZANESİ;VAN MERKEZ -2;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;6;1;7
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001216154;ELVAN ECZANESİ;TRABZON MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50;15;65
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT TRABZON;Eczane;8680001238552;ERDOĞDU ECZANESİ;TRABZON MERKEZ -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001116409;ERFELEK ECZANESİ;SINOP DOGU-BATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001170043;ERGİN ECZANESİ;TOKAT MERKEZ -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 6 Çiğneme Tablet;4;0;4
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001158553;ERMAN ECZANESİ;CORUM MERKEZ -1;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;12;4;16
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001740314;ERVA ECZANESİ;TRABZON MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001631988;EYLÜL ECZANESİ;AGRI DIYADIN+D.BEYAZIT;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001439645;FATİH ECZANESİ;RIZE MERKEZ;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;Eczane;8680001866229;FATİH ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001242764;FATİH ECZANESİ;TOKAT ERBAA;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001182732;FAZİLET ECZANESİ;TOKAT TURHAL;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001695317;FURKAN BUCAN ECZANESİ;RIZE DOGU ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001461233;GAZİ ÇATAK ECZANESİ;TOKAT MERKEZ -1;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;1;0;1
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001556670;GENÇ ECZANESİ;VAN MERKEZ -1;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;6;1;7
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001475421;GENÇKURT ECZANESİ;CORUM GUNEYDOGU ILCELER;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;12;4;16
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT TRABZON;Eczane;8680001156726;GERÇEKER ECZANESİ;ORDU UNYE;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001499301;GİZEM ECZANESİ;AMASYA MERZIFON;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001908301;GOKCELİ ECZANESİ;SAMSUN DOGU ILCELER - 2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001167418;GÖKALP ECZANESİ;GIRESUN MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001698394;GÖZDE ECZANESİ;ERZURUM MERKEZ -1;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;1;0;1
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001467242;GÜCE ECZANESİ;GIRESUN DOGU ILCELER -1;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001265923;GÜL ECZANESİ;TRABZON AKCAABAT;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001381661;GÜLAY ECZANESİ;VAN MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001695867;GÜLBAHAR ECZANESİ;RIZE MERKEZ;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001491865;GÜLDEN ECZANESİ;SAMSUN VEZIRKOPRU;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001465163;GÜNDAY ECZANESİ;SAMSUN BAFRA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001109937;GÜNEYSU SERDAR ECZANESİ;RIZE BATI ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50;15;65
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001187959;GÜRSOY ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001187959;GÜRSOY ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001124213;GÜVEN ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;1;0;1
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001470938;HAKAN ECZANESİ;AMASYA MERZIFON;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001101177;HALE ECZANESİ;SAMSUN HURRIYET+ZAFER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001443963;HALK ECZANESİ;TOKAT MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001489756;HAVZA ŞİFA ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001489756;HAVZA ŞİFA ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;1;0;1
1.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001264346;HAYIRLIOĞLU ECZANESİ;TRABZON MERKEZ -3;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001172443;HAZNECİ ECZANESİ;AMASYA MERZIFON;PANOCER;ASLAN;Panocer 40 mg 14 Enterik Kaplı Tablet;1;0;1
1.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001172443;HAZNECİ ECZANESİ;AMASYA MERZIFON;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
1.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;Eczane;8680001155705;HEKİMOĞLU ECZANESİ;CORUM GUNEYBATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;165;135;300
